,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,B1I_tags,Label,height(new)
92,2,14,0.862,1,19,679.8,1.5,1020,8,12,86
94,4,14,0.915,0,17,930.2,1.9,1767,7,3,92
103,2,18,0.942,0,20,974.2,1.2,1169,8,13,94
106,5,12,0.960,0,13,913.5,1.9,1736,7,2,96
111,3,16,0.900,1,20,714.6,1.7,1215,8,13,90
114,4,15,0.877,0,20,931.9,1.3,1211,8,13,88
116,4,13,0.995,0,13,928.4,1.9,1764,7,3,100
123,2,17,1.029,0,16,987.2,1.5,1481,7,0,103
125,3,17,0.910,0,21,963.1,1.7,1637,8,15,91
126,2,12,1.052,0,11,939.8,1.9,1786,7,3,105
136,2,15,0.905,0,18,940.8,1.9,1788,7,3,90
148,3,12,0.877,0,16,909.0,1.7,1545,7,0,88
149,4,17,0.991,0,17,964.0,1.7,1639,7,1,99
150,5,17,0.898,1,21,711.3,1.9,1351,8,14,90
151,3,16,1.066,1,14,800.2,1.9,1520,7,0,107
152,3,17,1.005,0,17,972.4,1.5,1459,7,0,101
153,3,13,0.947,0,14,923.5,1.9,1755,7,3,95
165,3,15,1.031,0,14,963.7,1.9,1831,7,3,103
169,4,13,0.902,0,16,912.5,1.9,1734,7,2,90
171,3,17,0.927,0,20,960.8,1.9,1826,8,16,93
172,5,15,0.897,0,19,932.6,1.7,1585,8,15,90
175,2,17,0.858,0,23,951.1,1.3,1236,8,13,86
179,5,17,0.960,0,19,960.4,1.5,1441,8,14,96
182,5,17,0.946,0,19,958.7,1.5,1438,8,14,95
185,3,16,0.927,0,19,955.6,1.7,1625,8,15,93
188,3,13,0.902,0,16,922.4,1.9,1753,7,3,90
191,5,17,1.000,0,17,961.1,1.9,1826,7,3,100
197,4,17,1.034,1,16,794.6,1.9,1510,7,0,103
199,4,15,0.884,1,20,690.8,1.7,1174,8,13,88
202,3,12,1.060,0,11,937.6,1.9,1781,7,3,106
203,4,14,0.975,0,15,936.1,1.7,1591,7,1,98
213,4,12,0.897,0,15,904.8,1.9,1719,7,2,90
216,4,15,0.860,0,20,923.3,1.9,1754,8,16,86
223,4,17,1.045,1,16,793.9,1.9,1508,7,0,105
230,4,12,1.063,0,11,934.7,1.9,1776,7,3,106
232,3,15,0.862,1,21,686.9,1.7,1168,8,13,86
235,3,13,0.901,0,16,919.4,1.9,1747,7,2,90
238,2,17,0.879,1,22,720.6,1.7,1225,8,13,88
240,4,16,1.060,0,14,965.5,1.7,1641,7,1,106
241,3,16,1.036,1,15,789.3,1.9,1500,7,0,104
245,4,14,1.078,1,12,767.9,1.9,1459,7,0,108
246,5,13,0.887,0,16,906.0,1.9,1721,7,2,89
250,3,14,0.903,0,17,928.0,1.9,1763,7,3,90
251,3,15,1.031,0,14,963.8,1.7,1638,7,1,103
252,3,17,0.861,0,23,954.0,1.3,1240,8,13,86
253,3,16,1.000,0,16,966.5,1.9,1836,7,3,100
255,3,14,1.021,0,14,951.0,1.9,1807,7,3,102
263,3,13,0.874,0,17,914.6,1.7,1555,7,1,87
264,2,17,0.929,0,19,963.9,1.5,1446,8,14,93
265,4,18,1.034,1,16,796.6,1.9,1514,7,0,103
266,3,15,0.867,0,20,932.5,1.3,1212,8,13,87
267,4,15,0.901,0,19,934.5,1.5,1402,8,14,90
271,5,13,0.986,0,13,922.7,1.7,1569,7,1,99
275,4,16,0.889,0,20,939.0,1.7,1596,8,15,89
286,3,16,1.067,0,14,972.3,1.9,1847,7,3,107
288,3,15,0.950,0,16,942.8,1.9,1791,7,3,95
293,3,15,1.050,0,14,966.8,1.5,1450,7,0,105
296,2,18,0.954,1,19,770.1,1.5,1155,8,13,95
297,4,12,0.877,0,16,904.2,1.9,1718,7,2,88
298,4,18,0.887,0,22,956.3,1.9,1817,8,16,89
299,5,15,1.048,0,13,951.4,1.9,1808,7,3,105
300,3,18,0.978,0,18,975.2,1.5,1463,7,0,98
302,5,16,0.903,0,19,937.1,1.3,1218,8,13,90
313,2,14,0.864,1,19,682.6,1.5,1024,8,12,86
319,3,16,0.908,0,19,946.8,1.7,1610,8,15,91
321,4,15,1.037,0,14,957.9,1.7,1628,7,1,104
323,5,12,0.965,0,13,912.9,1.7,1552,7,1,97
329,3,16,1.038,0,15,972.7,1.5,1459,7,0,104
330,3,18,0.890,1,22,732.2,1.7,1245,8,13,89
332,3,17,1.035,0,16,980.8,1.7,1667,7,2,103
333,2,15,0.886,0,19,939.1,1.7,1596,8,15,89
335,3,17,0.865,0,23,953.8,1.9,1812,8,16,86
337,4,18,1.047,0,16,986.0,1.7,1676,7,2,105
340,3,13,1.076,0,11,945.9,1.9,1797,7,3,108
341,4,15,1.009,0,15,951.2,1.9,1807,7,3,101
349,5,18,0.856,0,24,948.7,1.9,1802,8,16,86
350,4,18,0.968,0,19,969.7,1.7,1648,8,15,97
351,4,17,1.018,1,17,786.9,1.9,1495,7,0,102
353,5,18,0.874,1,23,709.7,1.7,1207,8,13,87
354,5,16,1.048,1,14,773.9,1.9,1470,7,0,105
360,4,18,0.864,0,24,954.6,1.9,1814,8,16,86
362,3,13,1.027,0,12,939.7,1.7,1598,7,1,103
364,4,14,0.874,0,19,923.8,1.7,1570,8,15,87
368,4,17,0.943,0,20,963.1,1.7,1637,8,15,94
372,4,12,1.015,0,12,923.9,1.7,1571,7,1,101
373,4,15,0.870,1,20,680.1,1.5,1020,8,12,87
374,4,15,0.867,0,20,927.6,1.3,1206,8,13,87
375,3,15,1.004,0,15,953.9,1.7,1622,7,1,100
376,3,17,1.068,0,15,983.9,1.5,1476,7,0,107
383,4,15,1.066,1,13,772.3,1.9,1467,7,0,107
387,5,16,0.903,0,19,936.4,1.3,1217,8,13,90
395,2,16,1.052,0,15,979.2,1.9,1861,7,4,105
396,2,17,0.861,1,22,710.7,1.7,1208,8,13,86
398,3,17,0.892,0,21,952.4,1.7,1619,8,15,89
400,4,13,0.870,0,17,906.2,1.9,1722,7,2,87
404,2,16,1.018,1,16,787.2,1.9,1496,7,0,102
405,4,14,1.036,0,13,949.4,1.9,1804,7,3,104
406,4,14,1.027,0,14,948.5,1.9,1802,7,3,103
407,3,17,0.934,0,20,963.8,1.5,1446,8,14,93
410,4,15,0.950,0,17,942.7,1.7,1603,7,1,95
412,3,17,0.970,0,18,964.4,1.9,1832,7,3,97
417,4,14,0.931,0,17,932.2,1.9,1771,7,3,93
421,4,15,0.891,0,19,929.2,1.3,1208,8,13,89
424,4,17,0.964,0,18,965.2,1.9,1834,7,3,96
426,5,13,0.957,0,15,923.7,1.7,1570,7,1,96
431,5,15,0.996,0,15,943.2,1.9,1792,7,3,100
432,3,13,0.959,0,14,929.3,1.7,1580,7,1,96
434,3,18,0.860,1,24,720.0,1.7,1224,8,13,86
437,3,15,0.870,1,20,693.0,1.5,1039,8,12,87
440,3,12,0.888,0,16,911.3,1.9,1731,7,2,89
443,4,14,0.888,0,18,923.5,1.7,1570,7,1,89
446,4,12,0.961,0,13,917.6,1.9,1743,7,2,96
448,4,14,0.931,0,16,924.6,1.7,1572,7,1,93
451,5,14,0.910,0,16,917.3,1.7,1559,7,1,91
461,2,16,1.038,0,15,974.1,1.5,1461,7,0,104
463,4,18,1.042,0,16,984.7,1.7,1674,7,2,104
467,2,17,0.888,0,22,964.6,1.7,1640,8,15,89
468,4,14,0.977,0,14,933.3,1.7,1587,7,1,98
469,5,14,1.001,0,14,935.3,1.7,1590,7,1,100
470,3,17,0.942,0,19,962.5,1.2,1155,8,13,94
471,3,16,0.903,0,20,950.7,1.5,1426,8,14,90
473,4,15,0.869,1,20,681.5,1.5,1022,8,12,87
476,4,17,0.925,0,20,957.4,1.3,1245,8,13,93
478,3,15,0.871,0,19,929.6,1.5,1394,8,14,87
480,4,16,0.890,0,20,943.1,1.3,1226,8,13,89
481,4,18,0.888,0,22,956.6,1.3,1244,8,13,89
483,5,16,0.908,0,19,935.6,1.5,1403,8,14,91
487,4,15,1.078,0,13,961.0,1.7,1634,7,1,108
494,2,17,0.934,0,20,971.9,1.2,1166,8,13,93
498,4,15,0.882,0,19,926.3,1.9,1760,8,16,88
505,4,16,1.027,0,15,964.7,1.9,1833,7,3,103
507,2,17,1.020,0,17,984.4,1.9,1870,7,4,102
508,2,17,0.990,0,17,975.7,1.5,1464,7,0,99
510,2,16,1.005,0,16,969.3,1.5,1454,7,0,100
511,2,14,0.859,1,19,677.7,1.5,1017,8,12,86
522,3,13,0.992,0,13,935.8,1.9,1778,7,3,99
523,4,14,0.959,0,15,934.9,1.9,1776,7,3,96
525,4,17,0.942,0,20,964.4,1.5,1447,8,14,94
529,2,15,0.869,0,20,940.5,1.3,1223,8,13,87
533,3,14,0.885,0,18,923.2,1.9,1754,7,3,89
534,3,16,1.021,0,15,964.9,1.9,1833,7,3,102
537,5,13,0.870,0,18,907.1,1.7,1542,7,0,87
538,3,17,0.964,0,18,968.7,1.5,1453,7,0,96
548,4,17,0.950,0,19,962.2,1.2,1155,8,13,95
550,3,16,0.874,0,21,945.0,1.5,1417,8,14,87
552,2,12,1.015,0,12,934.0,1.7,1588,7,1,102
554,3,13,1.032,0,12,937.7,1.9,1782,7,3,103
555,2,16,0.925,1,19,733.5,1.3,954,8,12,92
563,4,15,1.077,1,13,778.3,1.9,1479,7,0,108
565,5,17,0.958,0,18,953.0,1.9,1811,7,3,96
570,4,12,0.970,0,13,917.7,1.9,1744,7,2,97
571,4,17,0.896,1,21,716.2,1.9,1361,8,14,90
574,3,13,0.922,0,15,920.2,1.7,1564,7,1,92
575,3,17,1.078,0,14,984.0,1.7,1673,7,2,108
576,4,14,0.972,0,15,940.2,1.7,1598,7,1,97
581,3,17,0.906,0,21,956.9,1.3,1244,8,13,91
587,4,17,0.915,0,20,954.1,1.7,1622,8,15,91
590,2,15,0.883,1,20,704.6,1.7,1198,8,13,88
594,4,13,0.939,0,15,925.1,1.9,1758,7,3,94
596,4,15,1.051,1,14,771.9,1.9,1467,7,0,105
598,5,13,1.079,0,11,939.5,1.9,1785,7,3,108
600,3,14,0.979,0,15,941.3,1.7,1600,7,1,98
602,2,16,1.046,0,14,974.8,1.9,1852,7,4,105
603,3,17,1.029,1,16,792.3,1.9,1505,7,0,103
605,4,13,0.960,0,15,928.4,1.9,1764,7,3,96
609,3,18,0.907,1,21,739.5,1.9,1405,8,14,91
611,3,14,0.924,0,16,929.1,1.7,1579,7,1,92
612,4,16,0.918,1,19,720.4,1.9,1369,8,14,92
616,4,16,0.905,0,19,941.3,1.3,1224,8,13,90
625,4,18,1.015,0,17,978.3,1.5,1467,7,0,101
627,3,13,0.872,0,17,913.1,1.9,1735,7,2,87
631,4,15,1.021,0,14,953.4,1.7,1621,7,1,102
632,4,15,0.950,0,17,941.2,1.7,1600,7,1,95
634,2,16,0.918,1,19,731.3,1.9,1389,8,14,92
636,4,16,1.054,0,15,971.3,1.9,1845,7,3,105
641,5,16,1.062,0,14,963.6,1.7,1638,7,1,106
644,2,17,0.971,0,18,970.8,1.5,1456,7,0,97
648,2,18,0.955,0,20,979.1,1.2,1175,8,13,95
651,3,16,1.066,0,15,980.5,1.5,1471,7,0,107
652,4,17,1.070,0,15,979.2,1.9,1860,7,4,107
658,5,15,0.863,0,20,920.8,1.5,1381,8,14,86
670,2,17,0.928,0,20,966.8,1.7,1644,8,15,93
674,4,18,0.873,0,23,954.2,1.7,1622,8,15,87
675,5,17,0.934,0,19,949.6,1.9,1804,8,16,93
676,5,17,0.905,0,21,949.3,1.3,1234,8,13,90
677,5,18,0.904,0,22,956.1,1.7,1625,8,15,90
682,3,17,1.060,0,15,982.2,1.9,1866,7,4,106
689,5,16,0.913,0,19,939.0,1.9,1784,8,16,91
693,2,16,0.995,0,16,968.4,1.9,1840,7,3,99
697,4,16,0.898,0,19,939.3,1.5,1409,8,14,90
698,3,17,0.913,0,21,964.0,1.5,1446,8,14,91
699,2,16,0.874,0,21,949.7,1.9,1805,8,16,87
700,2,16,0.877,1,21,716.3,1.9,1361,8,14,88
701,3,17,0.903,0,21,959.9,1.7,1632,8,15,90
703,5,13,0.970,0,14,923.0,1.7,1569,7,1,97
705,5,17,0.858,0,23,938.7,1.5,1408,8,14,86
711,4,13,0.968,0,14,928.0,1.9,1763,7,3,97
714,3,16,0.873,0,22,947.5,1.3,1232,8,13,87
722,2,14,1.065,0,12,958.9,1.9,1822,7,3,106
726,3,15,0.903,0,19,942.1,1.7,1602,8,15,90
728,3,18,0.887,0,23,961.8,1.5,1443,8,14,89
729,3,16,0.923,0,19,950.4,1.5,1426,8,14,92
734,3,15,1.061,0,13,967.2,1.5,1451,7,0,106
736,4,18,1.032,1,17,798.5,1.9,1517,7,0,103
738,3,15,0.954,0,16,945.0,1.7,1607,7,1,95
741,3,13,0.980,0,13,930.2,1.9,1767,7,3,98
747,4,13,1.007,0,12,927.4,1.9,1762,7,3,101
750,3,15,1.008,0,14,952.6,1.9,1810,7,3,101
752,2,14,1.034,0,13,951.1,1.7,1617,7,1,103
753,4,14,0.886,0,18,924.3,1.9,1756,7,3,89
763,3,14,1.051,1,13,763.9,1.9,1451,7,0,105
764,5,12,0.930,0,14,905.9,1.7,1540,7,0,93
768,4,16,0.926,0,19,947.9,1.7,1611,8,15,93
769,5,17,0.946,0,19,955.8,1.7,1625,8,15,95
772,3,14,1.066,0,13,959.8,1.9,1824,7,3,107
774,4,14,1.007,0,14,942.9,1.9,1791,7,3,101
786,2,17,1.012,0,17,983.7,1.9,1869,7,4,101
787,5,17,1.077,0,15,978.2,1.7,1663,7,2,108
789,3,15,1.067,0,13,963.5,1.9,1831,7,3,107
791,4,16,0.927,0,19,947.2,1.3,1231,8,13,93
792,2,17,0.903,1,21,740.7,1.3,963,8,12,90
794,3,16,0.903,0,20,949.5,1.7,1614,8,15,90
796,4,13,0.993,0,13,929.7,1.9,1766,7,3,99
797,3,14,0.862,0,19,924.1,1.9,1756,8,16,86
798,3,17,0.927,1,20,747.0,1.9,1419,8,14,93
801,5,12,0.967,0,13,914.5,1.7,1555,7,1,97
804,2,14,0.987,0,14,948.8,1.9,1803,7,3,99
810,4,17,0.906,0,21,954.9,1.9,1814,8,16,91
817,4,17,0.904,1,21,726.3,1.7,1235,8,13,90
827,4,17,1.077,0,14,977.8,1.5,1467,7,0,108
831,3,16,0.929,0,18,949.7,1.9,1804,7,3,93
832,4,14,0.909,0,18,929.5,1.7,1580,7,1,91
842,3,17,0.883,0,22,958.8,1.3,1246,8,13,88
845,3,14,1.066,0,12,957.9,1.9,1820,7,3,107
846,3,18,0.926,0,21,970.0,1.9,1843,8,16,93
847,3,15,0.902,0,18,934.1,1.9,1775,7,3,90
850,4,16,1.057,0,14,969.1,1.7,1648,7,1,106
851,4,14,0.922,0,17,929.6,1.9,1766,7,3,92
857,4,18,0.877,0,23,954.5,1.3,1241,8,13,88
859,4,15,0.907,0,19,938.6,1.7,1596,8,15,91
863,4,14,0.886,0,17,917.9,1.7,1560,7,1,89
865,4,16,0.917,0,19,948.2,1.5,1422,8,14,92
872,4,16,0.906,0,19,941.4,1.7,1600,8,15,91
875,5,18,1.034,0,16,976.2,1.7,1660,7,2,103
879,2,16,0.984,0,16,962.5,1.7,1636,7,1,98
880,4,17,0.901,0,21,952.8,1.5,1429,8,14,90
885,2,13,0.908,0,16,924.4,1.9,1756,7,3,91
886,2,14,0.868,0,18,923.5,1.9,1755,7,3,87
889,2,18,0.948,0,20,978.0,1.2,1174,8,13,95
893,3,12,0.954,0,14,922.4,1.9,1753,7,3,95
898,2,16,1.047,0,15,976.5,1.9,1855,7,4,105
903,3,14,0.941,0,16,933.3,1.7,1587,7,1,94
909,4,16,0.878,0,21,940.1,1.5,1410,8,14,88
913,2,17,0.971,1,18,772.5,1.9,1468,7,0,97
919,4,18,0.964,0,19,970.4,1.9,1844,8,16,96
920,5,15,0.890,1,19,684.3,1.7,1163,8,13,89
923,3,13,0.930,0,16,928.3,1.9,1764,7,3,93
932,4,17,0.940,0,19,957.9,1.5,1437,8,14,94
934,2,16,0.875,0,21,949.1,1.3,1234,8,13,87
948,3,15,1.028,1,15,770.5,1.9,1464,7,0,103
950,4,16,0.886,0,20,938.0,1.3,1219,8,13,89
954,4,16,1.013,1,16,767.6,1.9,1458,7,0,101
955,3,17,0.974,1,18,763.4,1.9,1450,7,0,97
956,3,18,0.895,1,22,734.9,1.3,955,8,12,90
957,3,17,0.928,0,19,958.3,1.3,1246,8,13,93
959,5,16,0.924,1,19,714.6,1.7,1215,8,13,92
962,5,14,0.949,0,15,926.5,1.7,1575,7,1,95
966,4,14,1.076,0,12,956.0,1.9,1816,7,3,108
970,3,16,0.909,1,19,714.2,1.9,1357,8,14,91
971,3,18,0.942,0,20,969.8,1.7,1649,8,15,94
974,4,16,0.975,0,17,959.5,1.9,1823,7,3,98
976,4,16,0.926,0,19,950.7,1.7,1616,8,15,93
979,3,12,0.857,0,17,905.4,1.7,1539,7,0,86
982,4,15,1.062,1,13,776.3,1.9,1475,7,0,106
983,5,14,0.993,0,14,930.2,1.9,1767,7,3,99
987,4,17,0.870,1,22,705.3,1.7,1199,8,13,87
991,4,17,1.033,0,16,971.1,1.9,1845,7,3,103
997,4,15,1.074,0,13,959.6,1.7,1631,7,1,107
1000,4,15,1.060,0,14,963.7,1.7,1638,7,1,106
1001,2,15,1.077,0,13,971.3,1.5,1457,7,0,108
1003,4,17,0.916,1,20,731.8,1.9,1390,8,14,92
1004,5,16,0.863,1,22,685.6,1.5,1028,8,12,86
1005,3,15,0.876,0,20,933.8,1.9,1774,8,16,88
1008,4,18,0.935,0,20,965.5,1.5,1448,8,14,93
1016,4,17,0.928,0,20,959.1,1.5,1439,8,14,93
1017,4,12,1.050,0,11,931.3,1.7,1583,7,1,105
1018,3,17,0.921,0,20,963.0,1.7,1637,8,15,92
1019,4,17,0.939,0,19,959.8,1.5,1440,8,14,94
1021,2,15,1.009,0,15,962.9,1.7,1637,7,1,101
1025,3,16,0.911,0,20,951.7,1.3,1237,8,13,91
1028,4,17,1.012,0,16,967.1,1.9,1837,7,3,101
1029,3,16,0.892,0,20,942.8,1.5,1414,8,14,89
1030,3,16,1.078,0,14,975.4,1.9,1853,7,4,108
1038,4,16,0.904,0,20,943.6,1.9,1793,8,16,90
1039,3,16,0.976,0,17,961.1,1.7,1634,7,1,98
1043,2,13,0.863,0,18,919.3,1.9,1747,7,2,86
1046,4,16,1.070,1,14,790.0,1.9,1501,7,0,107
1055,5,17,0.882,0,22,943.8,1.9,1793,8,16,88
1061,4,16,0.918,1,19,713.0,1.7,1212,8,13,92
1063,3,15,0.969,0,16,945.5,1.7,1607,7,1,97
1065,3,15,1.041,0,14,958.4,1.7,1629,7,1,104
1066,3,16,0.888,0,21,949.2,1.5,1424,8,14,89
1072,3,18,0.885,0,22,959.4,1.2,1151,8,13,89
1076,4,15,1.056,1,14,776.3,1.9,1475,7,0,106
1082,2,17,1.039,1,15,799.2,1.9,1518,7,0,104
1085,5,13,0.931,0,15,915.4,1.9,1739,7,2,93
1086,4,16,1.006,0,16,962.1,1.7,1636,7,1,101
1088,5,16,0.868,0,22,937.0,1.3,1218,8,13,87
1090,3,14,1.015,0,14,952.4,1.9,1809,7,3,102
1091,3,16,0.884,1,20,705.8,1.7,1200,8,13,88
1092,4,16,1.068,0,14,969.8,1.9,1843,7,3,107
1093,3,13,1.074,0,11,945.9,1.7,1608,7,1,107
1094,4,17,0.892,0,21,950.3,1.5,1425,8,14,89
1099,3,14,1.060,0,13,958.1,1.7,1629,7,1,106
1100,4,15,0.966,0,16,945.4,1.9,1796,7,3,97
1105,3,13,0.884,0,16,912.1,1.7,1550,7,1,88
1109,3,13,0.909,0,16,924.7,1.7,1572,7,1,91
1113,3,17,0.875,0,23,955.2,1.7,1624,8,15,88
1116,2,16,0.911,1,19,724.5,1.7,1232,8,13,91
1118,2,13,1.027,0,12,945.1,1.9,1796,7,3,103
1124,2,16,1.018,1,15,775.4,1.9,1473,7,0,102
1127,4,17,0.881,0,22,948.6,1.5,1423,8,14,88
1129,4,15,0.901,0,18,933.4,1.7,1587,7,1,90
1131,5,17,1.060,0,15,978.3,1.9,1859,7,4,106
1132,5,16,0.856,0,22,930.1,1.3,1209,8,13,86
1135,4,18,0.950,0,19,966.5,1.5,1450,8,14,95
1136,4,15,0.859,1,21,677.2,1.5,1016,8,12,86
1137,4,18,0.979,0,18,971.3,1.5,1457,7,0,98
1141,5,14,1.034,0,13,937.6,1.7,1594,7,1,103
1143,3,18,0.885,0,22,960.3,1.9,1825,8,16,88
1152,4,15,0.947,0,16,939.1,1.9,1784,7,3,95
1160,3,12,1.070,0,11,942.3,1.9,1790,7,3,107
1161,3,17,0.901,0,21,958.8,1.5,1438,8,14,90
1162,4,15,0.975,0,16,946.5,1.9,1798,7,3,98
1168,4,12,0.983,0,13,921.5,1.7,1566,7,1,98
1174,5,14,0.878,1,19,667.9,1.5,1002,8,12,88
1175,2,18,0.966,1,19,777.7,1.3,1011,8,12,97
1176,5,14,0.866,0,19,914.6,1.7,1555,8,15,87
1179,4,16,1.003,0,16,963.6,1.9,1831,7,3,100
1184,3,15,0.878,1,19,689.3,1.7,1172,8,13,88
1185,3,17,0.898,1,21,727.1,1.7,1236,8,13,90
1186,4,13,0.899,0,16,915.8,1.7,1557,7,1,90
1188,2,12,1.006,0,12,934.3,1.7,1588,7,1,101
1190,2,18,0.992,1,18,790.1,1.9,1501,7,0,99
1192,3,16,0.929,1,19,734.3,1.7,1248,8,13,93
1193,3,14,0.891,0,18,931.1,1.9,1769,7,3,89
1195,3,17,1.074,0,14,983.6,1.5,1475,7,0,107
1198,3,14,0.894,0,17,926.6,1.9,1760,7,3,89
1201,3,18,0.918,0,21,966.5,1.2,1160,8,13,92
1204,4,18,0.964,1,19,762.1,1.9,1448,8,14,96
1206,4,18,0.936,0,20,966.8,1.7,1644,8,15,94
1208,3,18,0.993,0,18,980.0,1.5,1470,7,0,99
1217,5,17,0.900,1,21,714.8,1.7,1215,8,13,90
1219,3,15,1.066,0,13,963.0,1.9,1830,7,3,107
1221,4,13,0.857,0,18,907.9,1.7,1543,7,0,86
1223,3,15,1.036,1,14,765.9,1.9,1455,7,0,104
1224,3,16,0.918,0,19,952.2,1.3,1238,8,13,92
1230,4,17,0.971,0,19,969.1,1.2,1163,8,13,97
1231,4,15,0.886,0,19,931.7,1.5,1398,8,14,89
1232,3,18,1.014,0,17,983.1,1.9,1868,7,4,101
1241,4,16,0.883,0,21,940.9,1.5,1411,8,14,88
1242,3,17,0.940,0,19,962.0,1.2,1154,8,13,94
1246,3,16,1.055,0,14,970.9,1.9,1845,7,3,106
1249,2,17,1.041,1,15,799.9,1.9,1520,7,0,104
1251,2,17,1.016,0,17,982.2,1.7,1670,7,2,102
1253,4,12,0.870,0,16,902.4,1.9,1715,7,2,87
1261,2,14,1.075,0,12,965.3,1.7,1641,7,1,108
1263,2,18,1.015,0,17,988.7,1.9,1878,7,4,101
1269,5,17,1.076,0,15,981.9,1.5,1473,7,0,108
1270,4,15,0.988,0,16,952.4,1.9,1810,7,3,99
1271,4,17,0.972,0,18,964.5,1.9,1833,7,3,97
1280,5,16,0.870,1,21,688.0,1.5,1032,8,12,87
1281,4,16,0.862,0,21,932.1,1.7,1585,8,15,86
1283,4,18,0.903,1,22,732.0,1.7,1244,8,13,90
1286,2,16,1.041,1,15,791.4,1.9,1504,7,0,104
1292,3,15,0.906,1,19,707.6,1.7,1203,8,13,91
1293,4,17,0.892,1,21,714.0,1.9,1357,8,14,89
1295,4,17,0.913,1,20,723.4,1.9,1374,8,14,91
1296,4,15,1.039,0,14,961.7,1.9,1827,7,3,104
1298,3,15,1.044,0,14,960.3,1.7,1633,7,1,104
1300,4,17,0.952,0,19,966.0,1.7,1642,8,15,95
1305,3,14,0.866,0,18,919.4,1.9,1747,7,2,87
1309,4,15,0.977,0,16,949.5,1.9,1804,7,3,98
1312,4,17,1.018,0,17,973.4,1.5,1460,7,0,102
1318,3,18,0.975,0,19,977.2,1.2,1173,8,13,98
1325,4,13,1.031,0,12,933.5,1.9,1774,7,3,103
1326,3,17,1.070,0,15,985.7,1.9,1873,7,4,107
1330,4,16,0.879,0,21,941.9,1.3,1225,8,13,88
1331,3,13,0.939,0,15,928.7,1.9,1765,7,3,94
1334,4,14,0.964,0,15,937.0,1.7,1593,7,1,96
1337,3,17,0.873,1,22,716.4,1.9,1361,8,14,87
1338,4,13,0.972,0,14,930.4,1.9,1768,7,3,97
1342,2,13,0.921,0,16,931.3,1.9,1770,7,3,92
1343,3,12,1.030,0,11,931.9,1.9,1771,7,3,103
1347,5,18,1.055,1,16,802.5,1.9,1525,7,0,106
1367,3,16,0.909,1,19,714.7,1.7,1215,8,13,91
1368,3,16,0.916,0,19,948.3,1.3,1233,8,13,92
1372,4,16,1.072,1,14,796.2,1.9,1513,7,0,107
1377,3,18,0.993,0,18,980.3,1.7,1666,7,2,99
1378,4,18,1.055,1,16,808.4,1.9,1536,7,0,105
1381,5,18,0.988,0,18,968.0,1.5,1452,7,0,99
1384,3,13,0.910,0,15,916.8,1.9,1742,7,2,91
1385,3,13,1.064,0,12,950.5,1.9,1806,7,3,106
1388,4,15,0.934,0,17,938.0,1.9,1782,7,3,93
1391,5,16,0.975,0,17,955.1,1.7,1624,7,1,98
1392,4,17,1.070,0,15,986.1,1.7,1676,7,2,107
1394,4,17,0.946,0,19,961.6,1.7,1635,8,15,95
1397,5,17,0.882,0,21,940.6,1.9,1787,8,16,88
1398,2,17,0.896,0,22,965.8,1.2,1159,8,13,90
1404,4,15,0.873,0,19,924.5,1.7,1572,8,15,87
1405,3,17,1.021,0,16,976.3,1.7,1660,7,2,102
