,age,weight(kg),Height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,B2I_tags,Label,height(cm)
,4,15,1.021,0,14,953,1.7,1621,7,1,102
,4,15,0.95,0,17,941,1.7,1600,7,1,95
,2,16,0.918,1,19,731,1.9,1389,8,14,92
,4,16,1.054,0,15,971,1.9,1845,7,3,105
,5,16,1.062,0,14,964,1.7,1638,7,1,106
,2,17,0.971,0,18,971,1.5,1456,7,0,97
,2,18,0.955,0,20,979,1.2,1175,8,13,96
,3,17,1.066,0,15,981,1.5,1471,7,0,107
,4,17,1.07,0,15,979,1.9,1860,7,4,107
,5,15,0.863,0,20,921,1.5,1381,8,14,86
,2,17,0.928,0,20,967,1.7,1644,8,15,93
,4,18,0.873,0,23,954,1.7,1622,8,15,87
,5,17,0.934,0,19,950,1.9,1804,8,16,93
,5,17,0.905,0,21,949,1.3,1234,8,13,91
,5,18,0.904,0,22,956,1.7,1625,8,15,90
,3,17,1.06,0,15,982,1.9,1866,7,4,106
,5,16,0.913,0,19,939,1.9,1784,8,16,91
,2,16,0.995,0,16,968,1.9,1840,7,3,100
,4,16,0.898,0,19,939,1.5,1409,8,14,90
,3,18,0.913,0,21,964,1.5,1446,8,14,91
,2,16,0.874,0,21,950,1.9,1805,8,16,87
,2,17,0.877,1,21,716,1.9,1361,8,14,88
,3,17,0.903,0,21,960,1.7,1632,8,15,90
,5,13,0.97,0,14,923,1.7,1569,7,1,97
,5,17,0.858,0,23,939,1.5,1408,8,14,86
,4,13,0.968,0,14,928,1.9,1763,7,3,97
,3,17,0.873,0,22,948,1.3,1232,8,13,87
,2,14,1.065,0,12,959,1.9,1822,7,3,107
,3,15,0.903,0,19,942,1.7,1602,8,15,90
,3,18,0.887,0,23,962,1.5,1443,8,14,89
,3,16,0.923,0,19,950,1.5,1426,8,14,92
,3,15,1.061,0,13,967,1.5,1451,7,0,106
,4,18,1.032,1,17,798,1.9,1517,7,0,103
,3,15,0.954,0,16,945,1.7,1607,7,1,95
,3,13,0.98,0,13,930,1.9,1767,7,3,98
,4,13,1.007,0,12,927,1.9,1762,7,3,101
,3,15,1.008,0,14,953,1.9,1810,7,3,101
,2,14,1.034,0,13,951,1.7,1617,7,1,103
,4,14,0.886,0,18,924,1.9,1756,7,3,89
,3,14,1.051,1,13,764,1.9,1451,7,0,105
,5,12,0.93,0,14,906,1.7,1540,7,0,93
,4,16,0.926,0,19,948,1.7,1611,8,15,93
,5,17,0.946,0,19,956,1.7,1625,8,15,95
,3,14,1.066,0,13,960,1.9,1824,7,3,107
,4,14,1.007,0,14,943,1.9,1791,7,3,101
,2,17,1.012,0,17,984,1.9,1869,7,4,101
,5,17,1.077,0,15,978,1.7,1663,7,2,108
,3,15,1.067,0,13,963,1.9,1831,7,3,107
,4,16,0.927,0,19,947,1.3,1231,8,13,93
,2,17,0.903,1,21,741,1.3,963,8,12,90
,3,16,0.903,0,20,950,1.7,1614,8,15,90
,4,13,0.993,0,13,930,1.9,1766,7,3,99
,3,14,0.862,0,19,924,1.9,1756,8,16,86
,3,17,0.927,1,20,747,1.9,1419,8,14,93
,5,12,0.967,0,13,915,1.7,1555,7,1,97
,2,14,0.987,0,14,949,1.9,1803,7,3,99
,4,17,0.906,0,21,955,1.9,1814,8,16,91
,4,17,0.904,1,21,726,1.7,1235,8,13,90
,4,17,1.077,0,14,978,1.5,1467,7,0,108
,3,16,0.929,0,18,950,1.9,1804,7,3,93
,4,15,0.909,0,18,929,1.7,1580,7,1,91
,3,18,0.883,0,22,959,1.3,1246,8,13,88
,3,14,1.066,0,12,958,1.9,1820,7,3,107
,3,18,0.926,0,21,970,1.9,1843,8,16,93
,3,15,0.902,0,18,934,1.9,1775,7,3,90
,4,16,1.057,0,14,969,1.7,1648,7,1,106
,4,14,0.922,0,17,930,1.9,1766,7,3,92
,4,18,0.877,0,23,955,1.3,1241,8,13,88
,4,15,0.907,0,19,939,1.7,1596,8,15,91
,4,14,0.886,0,17,918,1.7,1560,7,1,89
,4,16,0.917,0,19,948,1.5,1422,8,14,92
,4,16,0.906,0,19,941,1.7,1600,8,15,91
,5,18,1.034,0,16,976,1.7,1660,7,2,103
,2,16,0.984,0,16,962,1.7,1636,7,1,98
,4,17,0.901,0,21,953,1.5,1429,8,14,90
,2,13,0.908,0,16,924,1.9,1756,7,3,91
,2,14,0.868,0,18,923,1.9,1755,7,3,87
,2,18,0.948,0,20,978,1.2,1174,8,13,95
,3,12,0.954,0,14,922,1.9,1753,7,3,95
,2,16,1.047,0,15,977,1.9,1855,7,4,105
,3,14,0.941,0,16,933,1.7,1587,7,1,94
,4,16,0.878,0,21,940,1.5,1410,8,14,88
,2,17,0.971,1,18,772,1.9,1468,7,0,97
,4,18,0.964,0,19,970,1.9,1844,8,16,96
,5,15,0.89,1,19,684,1.7,1163,8,13,89
,3,14,0.93,0,16,928,1.9,1764,7,3,93
,4,17,0.94,0,19,958,1.5,1437,8,14,94
,2,16,0.875,0,21,949,1.3,1234,8,13,88
,3,15,1.028,1,15,771,1.9,1464,7,0,103
,4,16,0.886,0,20,938,1.3,1219,8,13,89
,4,16,1.013,1,16,768,1.9,1458,7,0,101
,3,17,0.974,1,18,763,1.9,1450,7,0,97
,3,18,0.895,1,22,735,1.3,955,8,12,90
,3,17,0.928,0,19,958,1.3,1246,8,13,93
,5,16,0.924,1,19,715,1.7,1215,8,13,92
,5,14,0.949,0,15,927,1.7,1575,7,1,95
,4,14,1.076,0,12,956,1.9,1816,7,3,108
,3,16,0.909,1,19,714,1.9,1357,8,14,91
,3,18,0.942,0,20,970,1.7,1649,8,15,94
,4,16,0.975,0,17,959,1.9,1823,7,3,98
,4,16,0.926,0,19,951,1.7,1616,8,15,93
,3,12,0.857,0,17,905,1.7,1539,7,0,86
,4,15,1.062,1,13,776,1.9,1475,7,0,106
,5,14,0.993,0,14,930,1.9,1767,7,3,99
,4,17,0.87,1,22,705,1.7,1199,8,13,87
,4,17,1.033,0,16,971,1.9,1845,7,3,103
,4,15,1.074,0,13,960,1.7,1631,7,1,107
,4,15,1.06,0,14,964,1.7,1638,7,1,106
,2,15,1.077,0,13,971,1.5,1457,7,0,108
,4,17,0.916,1,20,732,1.9,1390,8,14,92
,5,16,0.863,1,22,686,1.5,1028,8,12,86
,3,15,0.876,0,20,934,1.9,1774,8,16,88
,4,18,0.935,0,20,965,1.5,1448,8,14,94
,4,17,0.928,0,20,959,1.5,1439,8,14,93
,4,12,1.05,0,11,931,1.7,1583,7,1,105
,3,17,0.921,0,20,963,1.7,1637,8,15,92
,4,17,0.939,0,19,960,1.5,1440,8,14,94
,2,15,1.009,0,15,963,1.7,1637,7,1,101
,3,16,0.911,0,20,952,1.3,1237,8,13,91
,4,17,1.012,0,16,967,1.9,1837,7,3,101
,3,16,0.892,0,20,943,1.5,1414,8,14,89
,3,16,1.078,0,14,975,1.9,1853,7,4,108
,4,16,0.904,0,20,944,1.9,1793,8,16,90
,3,16,0.976,0,17,961,1.7,1634,7,1,98
,2,13,0.863,0,18,919,1.9,1747,7,2,86
,4,16,1.07,1,14,790,1.9,1501,7,0,107
,5,17,0.882,0,22,944,1.9,1793,8,16,88
,4,16,0.918,1,19,713,1.7,1212,8,13,92
,3,15,0.969,0,16,946,1.7,1607,7,1,97
,3,15,1.041,0,14,958,1.7,1629,7,1,104
,3,16,0.888,0,21,949,1.5,1424,8,14,89
,3,18,0.885,0,22,959,1.2,1151,8,13,89
,4,15,1.056,1,14,776,1.9,1475,7,0,106
,2,17,1.039,1,15,799,1.9,1518,7,0,104
,5,13,0.931,0,15,915,1.9,1739,7,2,93
,4,16,1.006,0,16,962,1.7,1636,7,1,101
,5,17,0.868,0,22,937,1.3,1218,8,13,87
,3,15,1.015,0,14,952,1.9,1809,7,3,102
,3,16,0.884,1,20,706,1.7,1200,8,13,88
,4,16,1.068,0,14,970,1.9,1843,7,3,107
,3,13,1.074,0,11,946,1.7,1608,7,1,107
,4,17,0.892,0,21,950,1.5,1425,8,14,89
,3,14,1.06,0,13,958,1.7,1629,7,1,106
,4,15,0.966,0,16,945,1.9,1796,7,3,97
,3,13,0.884,0,16,912,1.7,1550,7,1,88
,3,14,0.909,0,16,925,1.7,1572,7,1,91
,3,17,0.875,0,23,955,1.7,1624,8,15,88
,2,16,0.911,1,19,725,1.7,1232,8,13,91
,2,13,1.027,0,12,945,1.9,1796,7,3,103
,2,16,1.018,1,15,775,1.9,1473,7,0,102
,4,17,0.881,0,22,949,1.5,1423,8,14,88
,4,15,0.901,0,18,933,1.7,1587,7,1,90
,5,17,1.06,0,15,978,1.9,1859,7,4,106
,5,16,0.856,0,22,930,1.3,1209,8,13,86
,4,18,0.95,0,19,966,1.5,1450,8,14,95
,4,15,0.859,1,21,677,1.5,1016,8,12,86
,4,18,0.979,0,18,971,1.5,1457,7,0,98
,5,14,1.034,0,13,938,1.7,1594,7,1,103
,3,18,0.885,0,22,960,1.9,1825,8,16,89
,4,15,0.947,0,16,939,1.9,1784,7,3,95
,3,13,1.07,0,11,942,1.9,1790,7,3,107
,3,17,0.901,0,21,959,1.5,1438,8,14,90
,4,15,0.975,0,16,946,1.9,1798,7,3,98
,4,12,0.983,0,13,921,1.7,1566,7,1,98
,5,14,0.878,1,19,668,1.5,1002,8,12,88
,2,18,0.966,1,19,778,1.3,1011,8,12,97
,5,14,0.866,0,19,915,1.7,1555,8,15,87
,4,16,1.003,0,16,964,1.9,1831,7,3,100
,3,15,0.878,1,19,689,1.7,1172,8,13,88
,3,17,0.898,1,21,727,1.7,1236,8,13,90
,4,13,0.899,0,16,916,1.7,1557,7,1,90
,2,12,1.006,0,12,934,1.7,1588,7,1,101
,2,18,0.992,1,18,790,1.9,1501,7,0,99
,3,16,0.929,1,19,734,1.7,1248,8,13,93
,3,15,0.891,0,18,931,1.9,1769,7,3,89
,3,17,1.074,0,14,984,1.5,1475,7,0,107
,3,14,0.894,0,17,927,1.9,1760,7,3,89
,3,18,0.918,0,21,967,1.2,1160,8,13,92
,4,18,0.964,1,19,762,1.9,1448,8,14,96
,4,18,0.936,0,20,967,1.7,1644,8,15,94
,3,18,0.993,0,18,980,1.5,1470,7,0,99
,5,17,0.9,1,21,715,1.7,1215,8,13,90
,3,15,1.066,0,13,963,1.9,1830,7,3,107
,4,13,0.857,0,18,908,1.7,1543,7,0,86
,3,15,1.036,1,14,766,1.9,1455,7,0,104
,3,16,0.918,0,19,952,1.3,1238,8,13,92
,4,18,0.971,0,19,969,1.2,1163,8,13,97
,4,15,0.886,0,19,932,1.5,1398,8,14,89
,3,18,1.014,0,17,983,1.9,1868,7,4,101
,4,16,0.883,0,21,941,1.5,1411,8,14,88
,3,17,0.94,0,19,962,1.2,1154,8,13,94
,3,16,1.055,0,14,971,1.9,1845,7,3,106
,2,17,1.041,1,15,800,1.9,1520,7,0,104
,2,17,1.016,0,17,982,1.7,1670,7,2,102
,4,12,0.87,0,16,902,1.9,1715,7,2,87
,2,14,1.075,0,12,965,1.7,1641,7,1,108
,2,18,1.015,0,17,989,1.9,1878,7,4,102
,5,17,1.076,0,15,982,1.5,1473,7,0,108
,4,15,0.988,0,16,952,1.9,1810,7,3,99
,4,17,0.972,0,18,965,1.9,1833,7,3,97
,5,16,0.87,1,21,688,1.5,1032,8,12,87
,4,16,0.862,0,21,932,1.7,1585,8,15,86
,4,18,0.903,1,22,732,1.7,1244,8,13,90
,2,16,1.041,1,15,791,1.9,1504,7,0,104
,3,15,0.906,1,19,708,1.7,1203,8,13,91
,4,17,0.892,1,21,714,1.9,1357,8,14,89
,4,17,0.913,1,20,723,1.9,1374,8,14,91
,4,16,1.039,0,14,962,1.9,1827,7,3,104
,3,15,1.044,0,14,960,1.7,1633,7,1,104
,4,18,0.952,0,19,966,1.7,1642,8,15,95
,3,14,0.866,0,18,919,1.9,1747,7,2,87
,4,15,0.977,0,16,950,1.9,1804,7,3,98
,4,17,1.018,0,17,973,1.5,1460,7,0,102
,3,18,0.975,0,19,977,1.2,1173,8,13,98
,4,13,1.031,0,12,934,1.9,1774,7,3,103
,3,17,1.07,0,15,986,1.9,1873,7,4,107
,4,16,0.879,0,21,942,1.3,1225,8,13,88
,3,13,0.939,0,15,929,1.9,1765,7,3,94
,4,14,0.964,0,15,937,1.7,1593,7,1,96
,3,17,0.873,1,22,716,1.9,1361,8,14,87
,4,13,0.972,0,14,930,1.9,1768,7,3,97
,2,14,0.921,0,16,931,1.9,1770,7,3,92
,3,12,1.03,0,11,932,1.9,1771,7,3,103
,5,18,1.055,1,16,802,1.9,1525,7,0,106
,3,16,0.909,1,19,715,1.7,1215,8,13,91
,3,16,0.916,0,19,948,1.3,1233,8,13,92
,4,16,1.072,1,14,796,1.9,1513,7,0,107
,3,18,0.993,0,18,980,1.7,1666,7,2,99
,4,18,1.055,1,16,808,1.9,1536,7,0,106
,5,18,0.988,0,18,968,1.5,1452,7,0,99
,3,13,0.91,0,15,917,1.9,1742,7,2,91
,3,13,1.064,0,12,950,1.9,1806,7,3,106
,4,15,0.934,0,17,938,1.9,1782,7,3,93
,5,16,0.975,0,17,955,1.7,1624,7,1,98
,4,18,1.07,0,15,986,1.7,1676,7,2,107
,4,17,0.946,0,19,962,1.7,1635,8,15,95
,5,17,0.882,0,21,941,1.9,1787,8,16,88
,2,18,0.896,0,22,966,1.2,1159,8,13,90
,4,15,0.873,0,19,924,1.7,1572,8,15,87
,3,17,1.021,0,16,976,1.7,1660,7,2,102
,4,13,0.996,0,13,932,1.9,1771,7,3,100
,4,16,0.993,0,16,954,1.9,1812,7,3,99
,4,17,0.943,1,20,749,1.3,974,8,12,94
,4,18,1.05,0,16,983,1.5,1475,7,0,105
,3,12,1.021,0,12,931,1.7,1583,7,1,102
,5,14,0.978,0,15,935,1.7,1589,7,1,98
,3,16,0.928,0,19,955,1.5,1432,8,14,93
,5,17,0.876,0,22,941,1.3,1223,8,13,88
,3,14,1.06,0,13,956,1.9,1817,7,3,106
,5,17,1.006,0,17,965,1.7,1641,7,1,101
,2,16,1.009,0,16,974,1.7,1656,7,2,101
,5,16,0.876,0,21,935,1.7,1589,8,15,88
,4,17,1.022,1,16,779,1.9,1481,7,0,102
,3,17,0.869,0,22,951,1.7,1616,8,15,87
,3,18,0.901,0,22,964,1.5,1445,8,14,90
,4,13,1.003,0,13,928,1.9,1762,7,3,100
,4,17,1.046,0,15,975,1.5,1463,7,0,105
,5,17,0.996,0,17,968,1.5,1451,7,0,100
,3,16,0.925,1,19,732,1.9,1391,8,14,93
,4,14,0.938,0,16,930,1.7,1581,7,1,94
,4,18,1.006,0,18,979,1.7,1664,7,2,101
,3,15,1.078,0,13,968,1.7,1646,7,1,108
,5,13,1,0,13,923,1.9,1755,7,3,100
,4,14,0.86,0,19,915,1.3,1189,8,13,86
,3,15,1.053,0,13,961,1.7,1634,7,1,105
,4,12,1.059,0,11,932,1.7,1585,7,1,106
,4,16,1.054,0,15,970,1.7,1650,7,1,105
,3,16,0.9,0,19,944,1.3,1227,8,13,90
,3,12,1.065,0,11,941,1.7,1599,7,1,107
,4,15,0.965,0,16,943,1.9,1792,7,3,97
,2,16,0.946,0,18,960,1.9,1824,7,3,95
,2,14,0.974,0,15,947,1.7,1610,7,1,97
,5,15,0.972,0,16,941,1.7,1599,7,1,97
,3,16,0.893,0,20,943,1.3,1225,8,13,89
,4,16,0.858,0,22,935,1.9,1776,8,16,86
,3,17,1.01,1,17,788,1.9,1498,7,0,101
,5,17,0.922,1,20,723,1.9,1374,8,14,92
,2,17,0.99,0,18,981,1.7,1667,7,2,99
,3,17,0.909,0,21,960,1.2,1152,8,13,91
,4,16,0.917,0,19,946,1.9,1797,8,16,92
,4,15,1.068,1,14,784,1.9,1489,7,0,107
,5,18,0.868,0,24,949,1.3,1234,8,13,87
,3,18,1.042,0,16,987,1.9,1876,7,4,104
,3,15,1.051,0,14,965,1.9,1834,7,3,105
,3,15,0.884,1,20,697,1.7,1185,8,13,88
,3,14,1.056,1,13,767,1.9,1457,7,0,106
,3,16,0.857,0,22,943,1.3,1226,8,13,86
,5,14,1.072,0,12,951,1.9,1807,7,3,107
,4,15,0.864,0,19,922,1.9,1751,8,16,86
,5,18,1.003,1,17,774,1.9,1471,7,0,100
,3,17,0.875,1,22,711,1.9,1352,8,14,88
,4,18,0.912,0,21,961,1.9,1826,8,16,91
,3,13,0.92,0,15,921,1.9,1750,7,3,92
